Year,Season,CDD,Rx5Day,Sea Level,T10,T90,WP90
1961,1,0.65,-0.53,-0.26,-1.25,0.16,-1.15
1961,2,0.68,-0.25,0.15,0.25,-0.87,0.58
1961,3,0.71,-0.64,-0.49,-0.85,0.49,-0.55
1961,4,0.75,0.06,-1.19,0.75,-0.05,2.16
1962,1,0.71,0.99,-1.03,1.09,-0.22,0.26
1962,2,0.52,-1.26,-0.72,0.39,-0.34,-1.35
1962,3,0.33,-0.12,-0.94,0.12,-1.36,-1.15
1962,4,0.14,-0.44,-0.37,-1.03,0.62,-1.2
1963,1,0.09,-0.75,-1.2,0.71,1.16,0.54
1963,2,0.31,-0.55,-1.26,-0.51,0.05,-0.11
1963,3,0.54,-1.26,-1.43,-0.41,-0.17,-0.19
1963,4,0.76,-1.38,0.08,-1.67,3.52,-1.9
1964,1,0.89,-1.78,-1.15,-0.31,-0.37,-0.37
1964,2,0.83,0.34,-2.17,1.66,-0.82,0.63
1964,3,0.78,-0.54,-1.57,0.88,-0.37,0.48
1964,4,0.72,-0.54,-1.77,0.02,-0.57,-0.75
1965,1,0.56,1.42,-0.7,0.91,-0.45,1.19
1965,2,0.21,-1.08,-1.74,1.62,-0.28,-1.01
1965,3,-0.15,-0.51,-1.54,1.47,-1.66,-0.57
1965,4,-0.5,-0.3,-0.06,0.45,-0.67,-0.16
1966,1,-0.69,0.42,0.19,0.21,-0.61,-2.8
1966,2,-0.53,-1.15,-0.58,1.1,-0.27,0.01
1966,3,-0.37,-1.3,-0.94,0.09,-0.48,-1.54
1966,4,-0.22,-1.47,-1.44,-0.19,-0.37,0.34
1967,1,0.01,-0.37,0,-0.64,-0.41,-0.17
1967,2,0.37,-1.15,-0.39,2.23,-0.47,0.82
1967,3,0.74,0.3,0.03,0.38,-0.57,-1.2
1967,4,1.1,-0.67,-0.15,-0.56,0.31,0.4
1968,1,1.17,0.59,0.3,-0.02,0.23,0.16
1968,2,0.64,-0.15,-0.79,-0.55,0.1,0.69
1968,3,0.11,1.03,-0.16,1.68,-0.82,1.65
1968,4,-0.42,-0.7,0.3,-1.01,-0.73,-0.22
1969,1,-0.64,1.28,0.36,0.65,-1.49,1.02
1969,2,-0.24,-1.01,0.01,0.15,-0.41,-1.82
1969,3,0.15,0.78,0.66,1.59,0.38,0.44
1969,4,0.55,-0.42,0.94,0.03,0.11,-0.84
1970,1,0.84,-0.55,0.56,-0.93,-0.07,-1.65
1970,2,0.92,0.03,-0.27,-0.12,-1,-1.02
1970,3,1,-0.17,0.06,-0.68,0.73,-0.68
1970,4,1.08,0.31,0.04,0.96,-0.17,0.35
1971,1,1.1,-0.31,0.1,0.46,-0.6,0.18
1971,2,1,-1.67,0.33,0.5,-1.58,0.77
